,Date_CD,Year,Season,WeekEnd,LastYear,LastSeason,LastWeekEnd,Date,LastDate,DaysRecency,ClientType,Staff,BLastStaff,RTLastStaff,StaffCancType,BLastServiceCode,BLastWomenMenService,BLastColorCutService,LastServiceCategory,LastServicePrice,LastServiceCost,ServiceCode,ServiceCancType,WomenMenService,ColorCutService,ServiceCategory,ServicePrice,ServiceCost,RTLastWomenMen,RTLastColorCutReciept,LastTotalAmount,LastTotalGST,LastTotalPST,WasProdPerch,IsCanceled,CancelDay,CancelWeekday,CanceledBy,Days,LastIsCanceled,LastCanceledBy,LastCancelWeekday,TotalClientCancellationsTillNow,TotalClientBookingsTillNow,CancellationPcnt
28,20180604,2018,Summer,0,2018.0,Spring,1.0,2018-06-04,2018-05-11,24.0,HighCancClient,KELLY,JOANNE,,HighCancStaff,CTU,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,1.0,SINEAD,5.0,4.0,5,0.8
29,20181104,2018,Fall,1,2018.0,Fall,1.0,2018-11-04,2018-11-04,0.0,LowCancClient,KELLY,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,9,0.0
30,20181104,2018,Fall,1,2018.0,Fall,1.0,2018-11-04,2018-11-04,0.0,LowCancClient,KELLY,KELLY,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,10,0.0
31,20180721,2018,Summer,1,2018.0,Summer,0.0,2018-07-21,2018-06-14,37.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,21.0,7.0,KELLY,0.0,0.0,,,0.0,1,0.0
32,20181005,2018,Fall,1,,,,2018-10-05,,,MediumCancClient,JOANNE,,,HighCancStaff,,,,,,,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,,,,,0,
33,20180817,2018,Summer,1,2018.0,Summer,0.0,2018-08-17,2018-07-19,29.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,8.0,29,0.27586206896551724
34,20180621,2018,Summer,0,2018.0,Summer,0.0,2018-06-21,2018-06-21,0.0,LowCancClient,JOANNE,JOANNE,BECKY,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Other,Other,50.0,28.45,45.52,0.0,0,,,,,0.0,,,3.0,22,0.13636363636363635
35,20180726,2018,Summer,0,2018.0,Summer,0.0,2018-07-26,2018-07-25,1.0,MediumCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,17.0,3.0,JJ,9.0,1.0,JJ,3.0,13.0,28,0.4642857142857143
36,20180505,2018,Spring,1,2018.0,Spring,1.0,2018-05-05,2018-05-05,0.0,LowCancClient,JOANNE,JJ,JJ,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,82.0,16.2,25.92,0.0,0,,,,,0.0,,,0.0,6,0.0
37,20180505,2018,Spring,1,2018.0,Spring,1.0,2018-05-05,2018-05-05,0.0,LowCancClient,JOANNE,JOANNE,JJ,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,Woman,Cut,82.0,16.2,25.92,0.0,0,,,,,0.0,,,0.0,8,0.0
38,20180208,2018,Winter,0,2018.0,Winter,0.0,2018-02-08,2018-02-08,0.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,1,0.0
39,20180208,2018,Winter,0,2018.0,Winter,0.0,2018-02-08,2018-02-08,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,3,0.0
40,20180731,2018,Summer,0,2018.0,Summer,0.0,2018-07-31,2018-07-31,0.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,9,0.0
41,20180731,2018,Summer,0,2018.0,Summer,0.0,2018-07-31,2018-07-31,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,10,0.0
42,20181008,2018,Fall,0,2018.0,Summer,1.0,2018-10-08,2018-06-29,101.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,6,0.0
43,20181008,2018,Fall,0,2018.0,Summer,1.0,2018-10-08,2018-06-29,101.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CTU,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,8,0.0
44,20180524,2018,Spring,0,2018.0,Spring,0.0,2018-05-24,2018-05-24,0.0,LowCancClient,JOANNE,BECKY,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,1,0.0
45,20180524,2018,Spring,0,2018.0,Spring,0.0,2018-05-24,2018-05-24,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,CALC,Other,Color,COLOR,0.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,4,0.0
46,20180524,2018,Spring,0,2018.0,Spring,0.0,2018-05-24,2018-05-24,0.0,LowCancClient,JOANNE,JOANNE,,HighCancStaff,SMARTBOND,Other,Other,MISC,25.0,10.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,0,,,,,0.0,,,0.0,7,0.0
47,20180717,2018,Summer,0,2018.0,Spring,0.0,2018-07-17,2018-05-15,63.0,LowCancClient,JOANNE,JJ,,HighCancStaff,SHCW,Woman,Cut,STYLE,102.0,5.0,CALC,LowCancService,Other,Color,COLOR,0,10,,,,,,,1,13.0,6.0,JJ,4.0,0.0,,,0.0,1,0.0
